sample_id,scenario,mechanism,metric,value
BlackMonday1987__Rag,BlackMonday1987,Rag,max_drawdown_pct,41.4346
BlackMonday1987__Rag,BlackMonday1987,Rag,return_autocorr_lag1,0.0407
CarryTradeUnwind__Rule,CarryTradeUnwind,Rule,cascade_onset_round,
CarryTradeUnwind__Rule,CarryTradeUnwind,Rule,max_drawdown_pct,92.9167
CarryTradeUnwind__Rule,CarryTradeUnwind,Rule,peak_rolling_vol_pct,780.467
CarryTradeUnwind__Rule,CarryTradeUnwind,Rule,recovery_ratio,0.0711
CarryTradeUnwind__Rule,CarryTradeUnwind,Rule,return_autocorr_lag1,0.0617
CarryTradeUnwind__Rule,CarryTradeUnwind,Rule,unwind_duration_rounds,0
CarryTradeUnwind__Rule,CarryTradeUnwind,Rule,unwind_velocity,48.3393
CarryTradeUnwind__LLM,CarryTradeUnwind,LLM,cascade_onset_round,4
CarryTradeUnwind__LLM,CarryTradeUnwind,LLM,max_drawdown_pct,100.0
CarryTradeUnwind__LLM,CarryTradeUnwind,LLM,peak_rolling_vol_pct,2889331935154.133
CarryTradeUnwind__LLM,CarryTradeUnwind,LLM,recovery_ratio,0.088
CarryTradeUnwind__LLM,CarryTradeUnwind,LLM,return_autocorr_lag1,-0.0105
CarryTradeUnwind__LLM,CarryTradeUnwind,LLM,unwind_duration_rounds,3
CarryTradeUnwind__LLM,CarryTradeUnwind,LLM,unwind_velocity,667262638.3099
CarryTradeUnwind__RuleLLM,CarryTradeUnwind,RuleLLM,cascade_onset_round,110
CarryTradeUnwind__RuleLLM,CarryTradeUnwind,RuleLLM,max_drawdown_pct,99.9915
CarryTradeUnwind__RuleLLM,CarryTradeUnwind,RuleLLM,peak_rolling_vol_pct,4555.6687
CarryTradeUnwind__RuleLLM,CarryTradeUnwind,RuleLLM,recovery_ratio,0.1629
CarryTradeUnwind__RuleLLM,CarryTradeUnwind,RuleLLM,return_autocorr_lag1,0.0292
CarryTradeUnwind__RuleLLM,CarryTradeUnwind,RuleLLM,unwind_duration_rounds,10
CarryTradeUnwind__RuleLLM,CarryTradeUnwind,RuleLLM,unwind_velocity,55.2112
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,cascade_onset_round,91
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,max_drawdown_pct,99.9926
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,peak_rolling_vol_pct,10884.3854
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,recovery_ratio,0.359
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,return_autocorr_lag1,-0.005
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,unwind_duration_rounds,12
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,unwind_velocity,46.6074
ConfirmationBias__Rule,ConfirmationBias,Rule,bias_amplitude_pct,39.4392
ConfirmationBias__Rule,ConfirmationBias,Rule,bias_persistence,161
ConfirmationBias__Rule,ConfirmationBias,Rule,correction_ratio,0.7688
ConfirmationBias__Rule,ConfirmationBias,Rule,return_autocorr_lag1,-0.0035
ConfirmationBias__LLM,ConfirmationBias,LLM,bias_amplitude_pct,25.5581
ConfirmationBias__LLM,ConfirmationBias,LLM,bias_persistence,170
ConfirmationBias__LLM,ConfirmationBias,LLM,correction_ratio,0.8543
ConfirmationBias__LLM,ConfirmationBias,LLM,return_autocorr_lag1,0.1619
ConfirmationBias__RuleLLM,ConfirmationBias,RuleLLM,bias_amplitude_pct,37.0361
ConfirmationBias__RuleLLM,ConfirmationBias,RuleLLM,bias_persistence,164
ConfirmationBias__RuleLLM,ConfirmationBias,RuleLLM,correction_ratio,0.8844
ConfirmationBias__RuleLLM,ConfirmationBias,RuleLLM,return_autocorr_lag1,0.0276
