sample_id,scenario,mechanism,duration_seconds,started_at,ended_at,rounds,source_run,runner,config
ConfirmationBias__RuleLLM,ConfirmationBias,RuleLLM,10420.83,2026-05-23T16:18:48,2026-05-23T19:12:29,configured_full,samples/ConfirmationBias/RuleLLM,examples/ConfirmationBias/RuleLLM/run_confirmationbias_rulellm.py,samples/ConfirmationBias/RuleLLM/config/simulation.yml
ConfirmationBias__Rag,ConfirmationBias,Rag,6650.511,2026-05-23T20:58:47,2026-05-23T22:49:37,configured_full,samples/ConfirmationBias/Rag,examples/ConfirmationBias/Rag/run_confirmationbias_rag.py,samples/ConfirmationBias/Rag/config/simulation.yml
CreditCycle__Rule,CreditCycle,Rule,40.003,2026-05-22T03:49:00,2026-05-22T03:49:40,configured_full,samples/CreditCycle/Rule,examples/CreditCycle/Rule/run_creditcycle.py,samples/CreditCycle/Rule/config/simulation.yml
CreditCycle__LLM,CreditCycle,LLM,5540.31,2026-05-22T17:08:16,2026-05-22T18:40:37,configured_full,samples/CreditCycle/LLM,examples/CreditCycle/LLM/run_creditcycle_llm.py,samples/CreditCycle/LLM/config/simulation.yml
CreditCycle__RuleLLM,CreditCycle,RuleLLM,3030.215,2026-05-23T19:12:39,2026-05-23T20:03:09,configured_full,samples/CreditCycle/RuleLLM,examples/CreditCycle/RuleLLM/run_creditcycle_rulellm.py,samples/CreditCycle/RuleLLM/config/simulation.yml
CreditCycle__Rag,CreditCycle,Rag,3870.267,2026-05-23T16:22:04,2026-05-23T17:26:35,configured_full,samples/CreditCycle/Rag,examples/CreditCycle/Rag/run_creditcycle_rag.py,samples/CreditCycle/Rag/config/simulation.yml
CurrencyCrisis__Rule,CurrencyCrisis,Rule,40.003,2026-05-22T03:43:02,2026-05-22T03:43:42,configured_full,samples/CurrencyCrisis/Rule,examples/CurrencyCrisis/Rule/run_currencycrisis.py,samples/CurrencyCrisis/Rule/config/simulation.yml
CurrencyCrisis__LLM,CurrencyCrisis,LLM,7210.539,2026-05-23T20:03:19,2026-05-23T22:03:29,configured_full,samples/CurrencyCrisis/LLM,examples/CurrencyCrisis/LLM/run_currencycrisis_llm.py,samples/CurrencyCrisis/LLM/config/simulation.yml
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,30351.958,2026-05-22T05:00:45,2026-05-22T13:26:37,configured_full,samples/CurrencyCrisis/RuleLLM,examples/CurrencyCrisis/RuleLLM/run_currencycrisis_rulellm.py,samples/CurrencyCrisis/RuleLLM/config/simulation.yml
CurrencyCrisis__Rag,CurrencyCrisis,Rag,20461.355,2026-05-22T05:08:15,2026-05-22T10:49:16,configured_full,samples/CurrencyCrisis/Rag,examples/CurrencyCrisis/Rag/run_currencycrisis_rag.py,samples/CurrencyCrisis/Rag/config/simulation.yml
DispositionEffect__Rule,DispositionEffect,Rule,280.012,2026-05-22T03:43:42,2026-05-22T03:48:22,configured_full,samples/DispositionEffect/Rule,examples/DispositionEffect/Rule/run_disposition.py,samples/DispositionEffect/Rule/config/simulation.yml
DispositionEffect__LLM,DispositionEffect,LLM,16946.643,2026-05-22T05:00:13,2026-05-22T09:42:40,configured_full,samples/DispositionEffect/LLM,examples/DispositionEffect/LLM/run_disposition_llm.py,samples/DispositionEffect/LLM/config/simulation.yml
DispositionEffect__RuleLLM,DispositionEffect,RuleLLM,8300.585,2026-05-22T13:26:37,2026-05-22T15:44:57,configured_full,samples/DispositionEffect/RuleLLM,examples/DispositionEffect/RuleLLM/run_disposition_rulellm.py,samples/DispositionEffect/RuleLLM/config/simulation.yml
DispositionEffect__Rag,DispositionEffect,Rag,4730.773,2026-05-23T01:27:38,2026-05-23T02:46:29,configured_full,samples/DispositionEffect/Rag,examples/DispositionEffect/Rag/run_disposition_rag.py,samples/DispositionEffect/Rag/config/simulation.yml
DotComBubble__Rule,DotComBubble,Rule,40.004,2026-05-22T03:48:22,2026-05-22T03:49:02,configured_full,samples/DotComBubble/Rule,examples/DotComBubble/Rule/run_dotcombubble.py,samples/DotComBubble/Rule/config/simulation.yml
DotComBubble__LLM,DotComBubble,LLM,4060.274,2026-05-23T16:20:26,2026-05-23T17:28:06,configured_full,samples/DotComBubble/LLM,examples/DotComBubble/LLM/run_dotcombubble_llm.py,samples/DotComBubble/LLM/config/simulation.yml
DotComBubble__RuleLLM,DotComBubble,RuleLLM,8260.548,2026-05-22T15:44:57,2026-05-22T18:02:38,configured_full,samples/DotComBubble/RuleLLM,examples/DotComBubble/RuleLLM/run_dotcombubble_rulellm.py,samples/DotComBubble/RuleLLM/config/simulation.yml
DotComBubble__Rag,DotComBubble,Rag,6750.476,2026-05-23T17:26:44,2026-05-23T19:19:15,configured_full,samples/DotComBubble/Rag,examples/DotComBubble/Rag/run_dotcombubble_rag.py,samples/DotComBubble/Rag/config/simulation.yml
EchoChamber__Rule,EchoChamber,Rule,80.005,2026-05-22T03:49:02,2026-05-22T03:50:22,configured_full,samples/EchoChamber/Rule,examples/EchoChamber/Rule/run_echo_chamber.py,samples/EchoChamber/Rule/config/simulation.yml
EchoChamber__LLM,EchoChamber,LLM,4460.326,2026-05-22T09:47:00,2026-05-22T11:01:20,configured_full,samples/EchoChamber/LLM,examples/EchoChamber/LLM/run_echo_chamber_llm.py,samples/EchoChamber/LLM/config/simulation.yml
EchoChamber__RuleLLM,EchoChamber,RuleLLM,5820.422,2026-05-22T18:02:38,2026-05-22T19:39:38,configured_full,samples/EchoChamber/RuleLLM,examples/EchoChamber/RuleLLM/run_echo_chamber_rulellm.py,samples/EchoChamber/RuleLLM/config/simulation.yml
EchoChamber__Rag,EchoChamber,Rag,9530.682,2026-05-22T11:33:26,2026-05-22T14:12:17,configured_full,samples/EchoChamber/Rag,examples/EchoChamber/Rag/run_echochamber_rag.py,samples/EchoChamber/Rag/config/simulation.yml
EndowmentEffect__Rule,EndowmentEffect,Rule,60.005,2026-05-22T03:50:22,2026-05-22T03:51:22,configured_full,samples/EndowmentEffect/Rule,examples/EndowmentEffect/Rule/run_endowmenteffect.py,samples/EndowmentEffect/Rule/config/simulation.yml
EndowmentEffect__LLM,EndowmentEffect,LLM,10600.772,2026-05-22T11:01:20,2026-05-22T13:58:01,configured_full,samples/EndowmentEffect/LLM,examples/EndowmentEffect/LLM/run_endowmenteffect_llm.py,samples/EndowmentEffect/LLM/config/simulation.yml
EndowmentEffect__RuleLLM,EndowmentEffect,RuleLLM,4580.332,2026-05-22T19:39:38,2026-05-22T20:55:59,configured_full,samples/EndowmentEffect/RuleLLM,examples/EndowmentEffect/RuleLLM/run_endowmenteffect_rulellm.py,samples/EndowmentEffect/RuleLLM/config/simulation.yml
EndowmentEffect__Rag,EndowmentEffect,Rag,5770.405,2026-05-22T14:12:17,2026-05-22T15:48:27,configured_full,samples/EndowmentEffect/Rag,examples/EndowmentEffect/Rag/run_endowmenteffect_rag.py,samples/EndowmentEffect/Rag/config/simulation.yml
EquityPremium__Rule,EquityPremium,Rule,60.006,2026-05-22T03:51:22,2026-05-22T03:52:22,configured_full,samples/EquityPremium/Rule,examples/EquityPremium/Rule/run_equity_premium.py,samples/EquityPremium/Rule/config/simulation.yml
EquityPremium__LLM,EquityPremium,LLM,10150.943,2026-05-23T20:10:57,2026-05-23T23:00:08,configured_full,samples/EquityPremium/LLM,examples/EquityPremium/LLM/run_equity_premium_llm.py,samples/EquityPremium/LLM/config/simulation.yml
